CloneID	Chromosome	Start	End	Case1.test	Case1.ref
A_14_P101588	18	45971521	45971580	373	189
A_14_P101590	04	185385148	185385207	470	290
A_14_P101591	19	12675066	12675116	849	574
A_14_P101593	02	9674675	9674734	874.5	367.5
A_14_P101594	17	14388806	14388865	1004	524
A_14_P101595	06	119729358	119729417	664	362
A_14_P101596	02	39017775	39017834	630	303
A_14_P101597	09	10872873	10872932	497	363
A_14_P101598	12	56516893	56516952	950	429
A_14_P101599	03	129977057	129977116	471	292
A_14_P101600	09	138035730	138035784	435.5	235
A_14_P101602	03	39428338	39428397	270	179.5
A_14_P101603	17	19417146	19417205	762	311.5
A_14_P101604	03	30970574	30970633	505.5	314
A_14_P101605	19	39822256	39822315	530	255
A_14_P101606	13	40932186	40932245	598	407
A_14_P101607	09	3385562	3385616	340	184
A_14_P101608	01	157127321	157127378	686.5	334
A_14_P101609	18	18248643	18248702	913.5	480
A_14_P101610	15	89284011	89284062	463.5	249
A_14_P101611	10	25180299	25180358	344	247
A_14_P101613	12	55366155	55366214	854.5	320
A_14_P101614	04	159951559	159951618	393	226
A_14_P101615	05	171493813	171493872	300	179.5
A_14_P101616	07	106283600	106283659	740	319.5
A_14_P101617	09	110716581	110716640	501.5	287
A_14_P101618	11	76920656	76920715	714.5	444
A_14_P101620	11	4970012	4970071	524.5	353
A_14_P101621	05	58516755	58516814	532	358
A_14_P101622	14	51253491	51253550	263	192
A_14_P101623	X	19529221	19529280	615	446
A_14_P101624	07	144502547	144502606	462.5	260
A_14_P101625	21	17434961	17435020	391	250
A_14_P101626	17	75606295	75606354	1048.5	412.5
A_14_P101627	14	84654310	84654369	189	135
A_14_P101628	08	62623158	62623217	796	494
A_14_P101629	X	86728457	86728516	315	232
A_14_P101630	02	204126571	204126630	966	471
A_14_P101631	16	83080506	83080565	277.5	156
A_14_P101632	10	25775042	25775101	147.5	100.5
A_14_P101633	20	36722651	36722710	590	264
A_14_P101634	10	50625705	50625764	527	399
A_14_P101635	10	48001477	48001536	452	392
A_14_P101636	02	27359351	27359405	602	262
A_14_P101637	X	94939760	94939819	631	512
A_14_P101638	18	70718127	70718185	692	369
A_14_P101640	11	77063731	77063790	642	398
A_14_P101641	10	103862808	103862867	132	91
A_14_P101642	02	175528808	175528867	1450	779
A_14_P101643	11	67538158	67538208	298.5	173.5
A_14_P101644	16	57269520	57269579	475.5	299.5
A_14_P101645	X	14646697	14646756	409	336
A_14_P101646	16	29779073	29779126	1098	617
A_14_P101647	02	149362516	149362575	777	430
A_14_P101648	19	40837272	40837317	897	529.5
A_14_P101649	15	99741465	99741524	237.5	125
A_14_P101650	04	66059589	66059648	745.5	420
A_14_P101651	04	104778171	104778230	649	381
A_14_P101652	15	72272758	72272817	561.5	249.5
A_14_P101653	19	11427548	11427607	538.5	305
A_14_P101654	10	35645453	35645512	571	456
A_14_P101655	01	89285758	89285817	353	172
A_14_P101656	01	209256216	209256275	572.5	250.5
A_14_P101657	04	167152764	167152821	411	258.5
A_14_P101658	15	32657579	32657638	455	217
A_14_P101659	04	23191332	23191391	991	504.5
A_14_P101660	10	65370749	65370808	186	144.5
A_14_P101661	22	37382138	37382197	305	187
A_14_P101662	X	130144827	130144880	343	222
A_14_P101663	X	77175325	77175384	221	175
A_14_P101664	17	61822945	61823004	702	307
A_14_P101665	09	99307477	99307536	253.5	141.5
A_14_P101666	03	38158689	38158748	353	198
A_14_P101667	16	87294454	87294503	269	162
A_14_P101668	11	124259156	124259215	411.5	235.5
A_14_P101669	03	26371277	26371336	255	171
A_14_P101670	22	25164689	25164748	351.5	218
A_14_P101671	17	24920439	24920486	215	113
A_14_P101672	X	129244030	129244074	327	229
A_14_P101674	X	71130036	71130095	243.5	171
A_14_P101675	20	5652528	5652587	382	215.5
A_14_P101676	22	44975603	44975662	383	228
A_14_P101678	15	75014929	75014988	612	299
A_14_P101680	09	12688542	12688598	608	339.5
A_14_P101681	04	41372207	41372266	342	188
A_14_P101682	17	36724675	36724734	1449.5	664
A_14_P101683	21	18105725	18105784	576.5	362.5
A_14_P101684	17	59127272	59127328	908.5	390.5
A_14_P101685	01	85043798	85043857	202	105
A_14_P101686	09	28203365	28203424	570	345
A_14_P101687	09	37883635	37883694	550.5	327
A_14_P101688	20	23380498	23380542	384	182
A_14_P101689	16	4104241	4104298	736.5	392
A_14_P101690	20	8693884	8693943	1081.5	513
A_14_P101691	12	27619910	27619969	561	241
A_14_P101693	05	68764487	68764542	423	257
A_14_P101694	17	63757735	63757794	637	265
A_14_P101695	09	5760926	5760985	413	253
A_14_P101696	17	9093253	9093308	1022.5	423.5
A_14_P101697	20	14303345	14303404	430	215
A_14_P101698	09	127709629	127709688	177	109
A_14_P101699	07	138982124	138982181	182	97
A_14_P101700	07	99454349	99454408	945	450
A_14_P101701	07	128447287	128447346	493	212
A_14_P101702	16	15164187	15164246	213	147.5
A_14_P101703	10	103884781	103884840	417	290
A_14_P101704	01	9290423	9290482	565	291
A_14_P101705	06	5161835	5161889	374	228
A_14_P101706	19	58646076	58646135	805	493
A_14_P101707	10	124612277	124612336	447	384
A_14_P101708	03	27301124	27301183	324.5	209
A_14_P101709	12	8915637	8915696	3263	1411.5
A_14_P101710	17	5221273	5221332	669	317
A_14_P101711	14	47124617	47124676	349.5	280.5
A_14_P101712	03	13570918	13570977	274	195
A_14_P101714	17	4647144	4647203	330	138
A_14_P101715	08	89249166	89249225	526	310
A_14_P101717	03	182133795	182133854	662	425
A_14_P101719	03	152316658	152316717	616.5	335.5
A_14_P101720	18	70374680	70374739	611	264
A_14_P101721	07	104994869	104994928	264	137
A_14_P101722	01	219892660	219892709	287	163
A_14_P101723	06	137189150	137189204	190.5	109
A_14_P101724	17	35138973	35139027	558	263.5
A_14_P101725	19	19491431	19491480	447	257
A_14_P101726	14	64005857	64005916	389	288
A_14_P101727	02	204563480	204563539	431.5	206
A_14_P101729	17	58054500	58054558	660	270
A_14_P101730	15	79216109	79216168	192	107
A_14_P101731	01	164523847	164523892	2260	883.5
A_14_P101732	04	48736449	48736508	423	246.5
A_14_P101733	16	51959762	51959821	670	327
A_14_P101734	01	181454768	181454827	644	350
A_14_P101735	14	74363585	74363644	411	273
A_14_P101736	09	83086852	83086911	433	302
A_14_P101738	01	45614395	45614454	622	308
A_14_P101739	11	63478008	63478067	396	232
A_14_P101740	20	59799781	59799840	508	218.5
A_14_P101741	22	45400818	45400877	768	504
A_14_P101742	18	74563043	74563102	591	308
A_14_P101743	01	168429316	168429375	241	132
A_14_P101744	03	125860914	125860962	553	320
A_14_P101745	19	49424310	49424369	214	142
A_14_P101746	06	15688378	15688437	680	400
A_14_P101748	08	445282	445341	416	257
A_14_P101749	02	227687758	227687817	456	243
A_14_P101750	05	79069811	79069870	637	427.5
A_14_P101752	12	41001597	41001656	759	316
A_14_P101753	16	79761753	79761806	468.5	256
A_14_P101754	19	54878808	54878867	852	518.5
A_14_P101755	07	10749038	10749097	321	174
A_14_P101756	19	63118396	63118455	357	199
A_14_P101757	06	31809516	31809562	601	388
A_14_P101758	10	52315385	52315441	413.5	289.5
A_14_P101759	20	23615148	23615192	778	395
A_14_P101760	05	140562680	140562739	289	152
A_14_P101761	02	242757057	242757116	686.5	387
A_14_P101762	07	7478033	7478092	471	269
A_14_P101763	21	38416276	38416325	369	259
A_14_P101764	03	181101175	181101232	345	193
A_14_P101765	05	117684909	117684968	505	289.5
A_14_P101766	10	83112205	83112264	356.5	268.5
A_14_P101767	07	120374818	120374877	698	337
A_14_P101768	15	26164760	26164819	211	113
A_14_P101769	06	87097844	87097903	906	552
A_14_P101770	16	36766	36825	937	577
A_14_P101771	05	49725929	49725988	554.5	377
A_14_P101772	08	104962929	104962988	286	182
A_14_P101774	08	85849346	85849404	592.5	369.5
A_14_P101775	18	31945069	31945128	670	338
A_14_P101778	X	140554446	140554505	586	440.5
A_14_P101779	14	89520203	89520262	228.5	156
A_14_P101780	06	137661991	137662050	568	390.5
A_14_P101781	03	133569746	133569805	482.5	321.5
A_14_P101782	14	104275679	104275735	464	320
A_14_P101783	19	16413979	16414038	223	128
A_14_P101784	02	42852357	42852416	382.5	177.5
A_14_P101785	05	158057988	158058047	510.5	348
A_14_P101786	10	34460483	34460537	410	249
A_14_P101787	01	25873262	25873306	373	170
A_14_P101788	X	13557652	13557705	212.5	130
A_14_P101789	11	101896611	101896670	946	524.5
A_14_P101790	04	76215712	76215766	655	361
A_14_P101791	03	140718973	140719032	325.5	186
A_14_P101792	15	57199529	57199588	576	297
A_14_P101793	05	45555282	45555341	436.5	293
A_14_P101795	16	61831762	61831821	349.5	259
A_14_P101796	22	40710462	40710521	185	119
A_14_P101797	11	110677099	110677158	334	198
A_14_P101798	17	76058764	76058823	268	148
A_14_P101799	16	28800251	28800310	289	162
A_14_P101800	09	105151626	105151684	295	177
A_14_P101801	01	150724437	150724488	1367	706
A_14_P101802	05	140371498	140371557	294	190
A_14_P101803	09	126183243	126183302	524	276
A_14_P101806	12	54914016	54914073	467	237
A_14_P101807	07	75576557	75576605	1109	550
A_14_P101808	07	132263964	132264023	334	162
A_14_P101809	05	39235810	39235869	479	304
A_14_P101810	05	148243	148302	318	189
A_14_P101811	07	93161289	93161348	697	282
A_14_P101812	X	73612790	73612849	386	286
A_14_P101813	10	5812868	5812923	207.5	143.5
A_14_P101814	01	62996817	62996876	542	263
A_14_P101815	03	78322152	78322211	262	159
A_14_P101817	13	86608058	86608117	470	282
A_14_P101818	11	6296877	6296931	419	240
A_14_P101819	08	23117761	23117820	271	168
A_14_P101820	08	30154229	30154288	955	425.5
A_14_P101821	X	85776891	85776950	454	337
A_14_P101822	05	179315187	179315246	347	201
A_14_P101823	18	13752250	13752309	467.5	269
A_14_P101824	20	1265516	1265564	649.5	325
A_14_P101826	01	6183681	6183740	579	291
A_14_P101827	05	128365611	128365670	225	162
A_14_P101828	16	27596584	27596643	236.5	128
A_14_P101829	09	31713924	31713983	145	95
A_14_P101830	11	18843001	18843060	490	314
A_14_P101831	05	172345157	172345216	354	255
A_14_P101833	02	48734483	48734542	313	164
A_14_P101834	09	12395964	12396020	731	402
A_14_P101835	04	47721616	47721675	1103	647
A_14_P101837	19	36524581	36524640	426	228
A_14_P101838	03	168920674	168920733	227	153
A_14_P101839	10	114135555	114135614	417.5	344.5
A_14_P101840	16	70044765	70044821	721	477
A_14_P101842	07	149828231	149828290	564	272
A_14_P101843	02	201639804	201639863	712	363
A_14_P101844	09	88413015	88413074	1076	623
A_14_P101845	16	5001609	5001668	433	270.5
A_14_P101846	05	72197154	72197212	601	365
A_14_P101847	02	85510116	85510164	238.5	123.5
A_14_P101848	01	76096464	76096523	572	288
A_14_P101849	01	117452906	117452965	502	215.5
A_14_P101850	07	133441459	133441518	605	310
A_14_P101851	07	108751368	108751427	239	129
A_14_P101852	19	2667703	2667762	355.5	218.5
A_14_P101853	03	150422118	150422177	631.5	379
A_14_P101854	08	22581849	22581908	328	198
A_14_P101855	X	151629585	151629644	286	212
A_14_P101856	07	139987665	139987719	565.5	280.5
A_14_P101858	04	26541540	26541599	640	429
A_14_P101859	02	202124546	202124605	943	417
A_14_P101860	19	54684183	54684242	305.5	179.5
A_14_P101861	19	12627741	12627794	330	215.5
A_14_P101862	X	69856130	69856189	234	167
A_14_P101864	08	59505196	59505255	273	170
A_14_P101865	13	45482550	45482601	335	225
A_14_P101866	20	35410960	35411019	243	116
A_14_P101867	09	74620479	74620538	509.5	349
A_14_P101868	01	23159485	23159544	835	573.5
A_14_P101870	04	81560135	81560194	527	385
A_14_P101871	05	157148915	157148974	241	152
A_14_P101872	17	35683356	35683415	948	454
A_14_P101874	02	46506947	46507006	643	352
A_14_P101875	17	30118126	30118185	850	390.5
A_14_P101876	01	77843120	77843179	764	431.5
A_14_P101877	06	129970831	129970890	300	197
A_14_P101878	13	40275723	40275782	364	221
A_14_P101879	04	28127460	28127519	831.5	479
A_14_P101880	04	89675155	89675208	567	335.5
A_14_P101881	10	15228285	15228344	561	443
A_14_P101882	07	141214728	141214787	916	468
A_14_P101883	19	3612656	3612712	311.5	215
A_14_P101884	01	195339884	195339943	369	178
A_14_P101885	03	143949959	143950014	377	186
A_14_P101886	13	37411759	37411818	660	369
A_14_P101887	17	40660135	40660194	810.5	343
A_14_P101888	17	2832706	2832765	546	208
A_14_P101889	01	52154738	52154797	385	173
A_14_P101890	03	46903978	46904029	828	554
A_14_P101891	19	54053030	54053089	1162	753
A_14_P101892	04	148899057	148899116	779	452.5
A_14_P101894	20	22875138	22875197	785	457
A_14_P101895	20	22510206	22510265	897	403
A_14_P101896	03	153834357	153834416	495	291
A_14_P101897	16	86631337	86631394	473	280
A_14_P101898	04	86753759	86753809	438.5	267
A_14_P101899	19	54755960	54756019	300	192
A_14_P101900	X	55888494	55888553	394.5	322.5
A_14_P101901	10	114864599	114864658	495	374
A_14_P101902	02	25511769	25511820	303	184
A_14_P101903	10	34272515	34272574	419	310
A_14_P101904	20	30386289	30386348	487	249
A_14_P101906	09	123859934	123859993	313	184
A_14_P101908	01	20717681	20717731	407.5	207.5
A_14_P101910	05	94825806	94825865	704	428
A_14_P101911	19	13899245	13899301	444	239
A_14_P101912	12	100182005	100182064	376	172
A_14_P101913	20	21090733	21090792	409.5	213
A_14_P101914	21	25237246	25237305	716	413
A_14_P101915	16	45750347	45750406	261.5	153.5
A_14_P101916	17	39210618	39210677	883	372
A_14_P101917	14	102147026	102147085	583	383
A_14_P101918	17	18081225	18081274	872.5	351
A_14_P101919	18	33453271	33453330	810	385
A_14_P101920	16	15626841	15626900	455	217
A_14_P101921	14	67189880	67189939	483.5	352
A_14_P101922	11	86052327	86052386	533	307
A_14_P101923	01	65338889	65338948	662.5	340
A_14_P101924	09	19347623	19347682	198	131
A_14_P101925	06	154466221	154466280	535	320.5
A_14_P101927	X	152798086	152798133	401	301
A_14_P101928	12	33082185	33082244	889	375
A_14_P101929	12	47645363	47645422	651.5	304
A_14_P101930	Y	16003595	16003654	273	218
A_14_P101931	08	10779857	10779916	241.5	146.5
A_14_P101932	20	4931218	4931277	805	336
A_14_P101933	20	47292408	47292462	284.5	155
A_14_P101934	X	113127280	113127339	460	346.5
A_14_P101935	17	77678681	77678732	732.5	279
A_14_P101936	X	64852382	64852441	423	318.5
A_14_P101939	17	49544050	49544109	701.5	333
A_14_P101940	06	945019	945078	359	195
A_14_P101941	06	55221529	55221588	468	301.5
A_14_P101942	11	91297310	91297369	789	450.5
A_14_P101943	09	120940218	120940277	277	142.5
A_14_P101944	01	191955321	191955380	931	402
A_14_P101945	02	10215415	10215472	624.5	310
A_14_P101946	07	72691549	72691598	278	156.5
A_14_P101947	10	131156039	131156093	219.5	164
A_14_P101948	10	55424320	55424379	220.5	201
A_14_P101949	05	179474096	179474150	537	293
A_14_P101951	17	56066089	56066146	832	327
A_14_P101952	20	57813232	57813291	527	263
A_14_P101953	17	47590087	47590142	376	171
A_14_P101954	04	3556852	3556896	442	295
A_14_P101955	12	100625028	100625087	419	176
A_14_P101956	02	74666494	74666538	979.5	510
A_14_P101957	08	23481079	23481123	463.5	243.5
A_14_P101958	07	22938621	22938672	585.5	340.5
A_14_P101959	06	106739934	106739993	370	247.5
A_14_P101960	01	198387204	198387263	335	163
A_14_P101962	03	31631612	31631671	426	280
A_14_P101963	12	44489806	44489865	470	222
A_14_P101964	06	158650887	158650946	586	301
A_14_P101965	03	150073104	150073163	515	262
A_14_P101966	20	39965729	39965788	290	147
A_14_P101967	02	56352240	56352299	364	205
A_14_P101968	02	235095245	235095304	600	264
A_14_P101969	07	99923709	99923768	413	204
A_14_P101970	10	35496548	35496607	281	211
A_14_P101971	08	110729943	110730002	479.5	295
A_14_P101972	02	114916341	114916400	359	199
A_14_P101973	08	53857212	53857271	598	406.5
A_14_P101974	07	72428810	72428864	727.5	361.5
A_14_P101975	17	70265051	70265105	635	312
A_14_P101976	06	166690815	166690861	539.5	322
A_14_P101977	06	102106794	102106853	220	158.5
A_14_P101978	01	198432497	198432551	572	230.5
A_14_P101979	19	7870346	7870397	296	143
A_14_P101980	15	63690183	63690239	517	257
A_14_P101981	01	216774646	216774705	1316	606
A_14_P101982	01	17381570	17381622	511	230
A_14_P101983	X	135721874	135721933	192	156
A_14_P101985	19	41058967	41059021	376.5	211.5
A_14_P101986	19	56178739	56178789	396	247
A_14_P101987	19	10310106	10310155	986.5	578.5
A_14_P101988	06	43906127	43906186	468	270
A_14_P101989	10	121048027	121048086	523	374.5
A_14_P101990	19	18609977	18610036	249	169
A_14_P101991	16	31251308	31251365	249	155
A_14_P101992	06	124568613	124568672	475.5	283
A_14_P101993	09	9612217	9612276	611	380
A_14_P101994	01	34502549	34502608	1795	941.5
A_14_P101995	11	59325895	59325954	269	158
A_14_P101998	20	18692429	18692488	568	287
A_14_P101999	04	95596194	95596253	520	309
A_14_P102000	02	67548695	67548754	559.5	314.5
A_14_P102001	17	71669015	71669074	666	275
A_14_P102002	14	52601419	52601478	321	199
A_14_P102003	13	49013103	49013162	511.5	355
A_14_P102004	15	81449617	81449670	1240.5	719
A_14_P102005	20	55627949	55628008	535	261
A_14_P102006	12	115718159	115718218	515	242
A_14_P102007	15	73121596	73121653	273.5	127
A_14_P102008	02	227503359	227503418	300	170
A_14_P102009	07	106782532	106782591	537	249
A_14_P102010	12	50756229	50756287	838	364
A_14_P102011	05	88629033	88629092	697	407
A_14_P102012	15	73094209	73094268	748	427
A_14_P102013	06	146097518	146097565	591	351
A_14_P102014	02	70586456	70586515	492	258
A_14_P102015	06	86406013	86406072	710	389
A_14_P102016	09	97302445	97302504	602	322
A_14_P102017	X	147308845	147308904	298.5	241.5
A_14_P102018	14	23956845	23956895	498	293
A_14_P102019	12	12766145	12766204	245.5	110.5
A_14_P102020	06	41167224	41167283	609.5	391.5
A_14_P102021	08	127112605	127112664	524	316
A_14_P102022	16	23423628	23423687	340	189
A_14_P102023	01	199586051	199586110	643.5	274.5
A_14_P102024	09	21095075	21095134	347	223.5
A_14_P102025	05	76770762	76770821	796	472
A_14_P102026	14	41430431	41430490	359	226
A_14_P102027	08	67226295	67226354	620	337
A_14_P102028	19	2691100	2691148	512.5	278.5
A_14_P102029	11	22603439	22603488	289	188
A_14_P102030	11	101606043	101606102	516	301
A_14_P102031	08	27199552	27199611	405.5	245
A_14_P102032	05	180598525	180598584	715.5	424
A_14_P102033	03	35654005	35654064	759	434
A_14_P102034	17	6277211	6277270	545	232
A_14_P102035	06	92780492	92780551	464.5	317
A_14_P102036	10	8136927	8136983	302	115
A_14_P102037	06	76442418	76442477	324.5	211
A_14_P102038	14	34601304	34601363	579	458
A_14_P102039	02	209267707	209267766	617	352
A_14_P102040	X	98676409	98676468	217.5	157.5
A_14_P102041	01	147845819	147845873	812	443
A_14_P102043	02	167114339	167114398	1263.5	653
A_14_P102044	01	120241712	120241767	710	378
A_14_P102045	09	129170651	129170710	594	312
A_14_P102046	08	91062117	91062176	273	168
A_14_P102047	11	124131550	124131599	311	201
A_14_P102048	01	51133981	51134040	449.5	212.5
A_14_P102049	15	62241310	62241363	338	176
A_14_P102050	13	43978324	43978383	492.5	328
A_14_P102051	10	88416157	88416216	284	208.5
A_14_P102052	03	185442811	185442861	582	358.5
A_14_P102053	09	83154977	83155036	608.5	375
A_14_P102054	15	90890088	90890147	605.5	319.5
A_14_P102055	06	84720367	84720426	635	371
A_14_P102056	12	122037156	122037215	569	237.5
A_14_P102057	12	54682607	54682651	1312.5	461.5
A_14_P102058	10	102731246	102731298	418	408
A_14_P102059	19	7021410	7021469	410.5	257
A_14_P102060	03	137624078	137624137	540	296
A_14_P102061	01	85632089	85632148	692	285
A_14_P102062	19	16570972	16571031	800.5	483
A_14_P102063	08	94619246	94619305	297.5	180.5
A_14_P102064	01	178440582	178440641	295	142
A_14_P102065	04	26351641	26351700	272	156
A_14_P102066	X	100719639	100719698	144	116
A_14_P102067	11	101585466	101585522	799.5	492.5
A_14_P102068	07	6296153	6296202	808.5	447
A_14_P102069	09	13096806	13096865	715	467
A_14_P102070	04	106515280	106515339	583	362
A_14_P102071	19	11091752	11091809	346	179
A_14_P102072	12	51880056	51880115	739	245
A_14_P102073	07	33747035	33747093	515	279
A_14_P102074	07	94919903	94919962	718.5	395
A_14_P102075	11	6958317	6958376	262.5	175
A_14_P102076	09	38343993	38344052	495	345
A_14_P102078	20	44565104	44565163	626	319
A_14_P102079	17	473563	473622	349	192
A_14_P102080	10	11258434	11258493	884	552
A_14_P102081	19	45319229	45319288	596.5	437.5
A_14_P102082	04	84385168	84385227	344	202
A_14_P102084	05	78653228	78653287	486	299
A_14_P102085	19	47037875	47037934	252	120
A_14_P102086	18	72201468	72201527	740	416
A_14_P102088	X	48777202	48777261	536.5	510.5
A_14_P102089	05	163616672	163616731	787	491
A_14_P102090	16	79608418	79608472	263	163
A_14_P102093	05	161177340	161177399	414.5	229.5
A_14_P102094	22	28983695	28983750	654	364
A_14_P102095	07	26656958	26657017	845	431
A_14_P102096	10	131828585	131828644	435.5	303.5
A_14_P102097	01	57032552	57032604	1478.5	892
A_14_P102098	03	130488175	130488234	266	154
A_14_P102099	19	48848041	48848099	460	290
A_14_P102100	08	11370396	11370455	543	347
A_14_P102101	08	68236561	68236620	632	380
A_14_P102102	05	71472321	71472380	669	429.5
A_14_P102103	03	169319979	169320038	485	330
A_14_P102104	07	14897883	14897942	847	459
A_14_P102105	12	10042991	10043050	300	130
A_14_P102106	02	131033844	131033903	600	251
A_14_P102107	20	41394495	41394554	771.5	389
A_14_P102108	01	180592861	180592920	374	194
A_14_P102109	20	50753136	50753195	520	239
A_14_P102110	12	1956441	1956500	1441	638
A_14_P102111	X	30774632	30774691	638	512
A_14_P102112	20	60008601	60008660	632	297
A_14_P102113	14	51809819	51809878	249	186
A_14_P102114	17	19899547	19899606	498	202
A_14_P102115	16	66361759	66361818	654	399.5
A_14_P102116	05	151257251	151257310	486	302.5
A_14_P102118	05	176667804	176667850	535.5	314.5
A_14_P102119	02	119052934	119052993	308	169
A_14_P102120	19	56540232	56540282	769	514
A_14_P102121	03	135204346	135204405	260	159
A_14_P102122	X	54839663	54839708	649	451
A_14_P102123	12	49986934	49986993	467.5	226
A_14_P102124	03	125945614	125945673	230	137.5
A_14_P102125	03	69839194	69839253	513	313
A_14_P102126	04	152619260	152619319	579	345
A_14_P102127	05	942958	943017	464.5	309.5
A_14_P102128	14	31138273	31138331	345	260.5
A_14_P102129	04	103540713	103540772	362.5	227
A_14_P102130	07	26975322	26975381	1191	594.5
A_14_P102131	X	38288286	38288345	97	70.5
A_14_P102133	18	12364179	12364238	960.5	415.5
A_14_P102135	05	16908294	16908353	498	281
A_14_P102136	17	26148425	26148476	1855	795
A_14_P102137	18	20579293	20579352	199	124
A_14_P102138	03	119082840	119082899	873	485
A_14_P102139	10	99826125	99826184	494	451
A_14_P102140	17	73261801	73261860	457	229
A_14_P102141	18	22126166	22126225	530	229
A_14_P102142	22	41878348	41878407	370.5	204.5
A_14_P102143	03	62038915	62038972	261	185
A_14_P102144	03	25997134	25997193	281	170
A_14_P102145	02	149759579	149759633	757	419
A_14_P102146	03	137531767	137531826	214	123
A_14_P102147	14	46636027	46636086	388	326
A_14_P102148	01	110398895	110398954	457	216
A_14_P102150	01	17890703	17890762	854	463
A_14_P102151	11	44149794	44149848	669.5	446.5
A_14_P102152	18	3243207	3243266	389.5	223
A_14_P102153	19	58116034	58116093	1575.5	1041.5
A_14_P102154	03	45027819	45027872	944	591
A_14_P102155	09	97693253	97693312	351	238
A_14_P102156	07	114913287	114913346	271	160.5
A_14_P102157	01	55004743	55004802	749	368
A_14_P102158	02	43879350	43879409	897	432
A_14_P102159	04	71277701	71277750	691	406
A_14_P102160	03	127549061	127549120	282	146
A_14_P102161	05	32747300	32747359	774	430
A_14_P102162	02	4933164	4933223	976	439.5
A_14_P102163	16	11269436	11269495	310	173
A_14_P102164	X	106846179	106846238	386	292
A_14_P102165	X	119846660	119846719	260	195
A_14_P102166	11	75454425	75454484	435.5	248.5
A_14_P102167	18	19311116	19311174	703.5	391
A_14_P102168	21	43388127	43388186	606	340
A_14_P102169	12	44919712	44919771	596	280
A_14_P102170	15	84170900	84170959	832	347.5
A_14_P102171	12	55693406	55693459	255	124
A_14_P102173	03	126129148	126129207	571	376
A_14_P102174	04	160546873	160546932	234	142
A_14_P102175	22	17795775	17795834	421.5	238
A_14_P102176	03	50854116	50854175	203	117
A_14_P102177	14	55336442	55336501	481.5	396.5
A_14_P102178	X	114819132	114819191	242	186
A_14_P102179	X	69186467	69186526	178.5	126
A_14_P102180	15	76350043	76350093	1077	616
A_14_P102181	08	139224333	139224392	306.5	199.5
A_14_P102182	13	94611477	94611536	199	127
A_14_P102183	10	104251636	104251695	473.5	383.5
A_14_P102184	09	132972692	132972751	286	167
A_14_P102185	07	62098454	62098513	254	120
A_14_P102186	01	154459554	154459613	532.5	235
A_14_P102187	08	29299004	29299063	231	135
A_14_P102188	10	103409613	103409672	752	561
A_14_P102189	08	49041740	49041799	437	227
A_14_P102190	12	18335168	18335227	438	218
A_14_P102191	20	59833452	59833511	499	243
A_14_P102192	01	116578150	116578209	269	139
A_14_P102193	06	28218866	28218925	267	157
A_14_P102194	01	154093308	154093367	1020	473
A_14_P102195	08	11258332	11258391	284	196.5
A_14_P102197	X	118703222	118703281	436.5	342
A_14_P102199	16	69441287	69441346	327	189
A_14_P102200	01	180256827	180256886	315	168
A_14_P102201	05	125801997	125802056	595	429
A_14_P102202	11	85244229	85244284	660	348
A_14_P102203	12	65285623	65285682	731	284
A_14_P102204	02	192689266	192689325	637	278
A_14_P102205	06	45079391	45079450	384	208
A_14_P102206	10	24936409	24936468	859	606.5
A_14_P102207	11	9642758	9642803	200	127
A_14_P102208	20	54427320	54427379	1005	520
A_14_P102209	05	32824756	32824815	477	244.5
A_14_P102210	22	26602557	26602616	594	335
A_14_P102211	16	30417973	30418032	248	136
A_14_P102212	21	42967968	42968027	147.5	101
A_14_P102213	02	105404129	105404173	408.5	235
A_14_P102214	01	58723069	58723128	616	325
A_14_P102215	02	85166707	85166766	611	329
A_14_P102216	07	40004370	40004429	1174	513
A_14_P102217	20	3037884	3037943	256.5	136
A_14_P102218	10	8156631	8156690	332	238
A_14_P102219	02	219014777	219014836	604.5	297
A_14_P102220	18	69794790	69794849	403	222
A_14_P102221	17	9821546	9821605	1127.5	467
A_14_P102222	19	2025422	2025481	1384	869
A_14_P102224	15	53546161	53546220	410	208
A_14_P102225	08	61858315	61858374	526.5	292
A_14_P102226	06	134103725	134103784	642	393
A_14_P102227	06	53795032	53795091	707.5	452
A_14_P102228	02	96930804	96930863	528	266
A_14_P102229	02	42491588	42491647	306	159
A_14_P102230	01	175789376	175789434	481	244
A_14_P102231	10	43064095	43064154	339	219.5
A_14_P102232	02	227857714	227857773	569	279
A_14_P102235	22	14433473	14433528	1166	930
A_14_P102236	16	66256005	66256050	478	259
A_14_P102237	01	143185545	143185604	426	203
A_14_P102238	07	148718068	148718127	375	220
A_14_P102239	08	90028630	90028689	748	492
A_14_P102240	06	355683	355742	412	250.5
A_14_P102241	12	132028084	132028143	523.5	297
A_14_P102243	16	63491960	63492019	416	245
A_14_P102244	02	216970037	216970096	708	306
A_14_P102245	12	66932601	66932650	421.5	170
A_14_P102246	15	77396865	77396924	333	154
A_14_P102247	X	126359343	126359402	149	116
A_14_P102248	04	86210645	86210696	682	421
A_14_P102249	14	100085777	100085825	674	379
A_14_P102250	17	19230493	19230546	1516	617
A_14_P102251	19	12856235	12856291	397	230
A_14_P102252	13	100906788	100906846	388	225
A_14_P102254	16	88282291	88282346	580.5	322
A_14_P102255	17	17339599	17339643	437.5	132
A_14_P102256	12	14718854	14718913	524	202
A_14_P102257	03	37524535	37524594	751	467.5
A_14_P102258	22	21217041	21217097	278	152
